 -10.0,  -20.0,    0.0,
   0.0,    0.0,    0.0,
  10.0,   20.0,    0.0,
  20.0,   30.0,    0.0,
  40.0,   70.0,    0.0,
  80.0,   90.0,    0.0,
  90.0,  120.0,    0.0,
 100.0,  170.0,    0.0,
 110.0,  180.0,    0.0,
 160.0,  190.0,    0.0,
 200.0,  200.0,    0.0,
 210.0,  220.0,    0.0,
 220.0,  230.0,    0.0,
 240.0,  270.0,    0.0,
 280.0,  290.0,    0.0,
 290.0,  320.0,    0.0,
 300.0,  370.0,    0.0,
 310.0,  380.0,    0.0,
 360.0,  390.0,    0.0,
 400.0,  400.0,    0.0,
 410.0,  420.0,    0.0,
 420.0,  430.0,    0.0,
 440.0,  470.0,    0.0,
 480.0,  490.0,    0.0,
 490.0,  520.0,    0.0,
 500.0,  570.0,    0.0,
 510.0,  580.0,    0.0,
 560.0,  590.0,    0.0,
 600.0,  600.0,    0.0,
 610.0,  620.0,    0.0,
 620.0,  630.0,    0.0,
 640.0,  670.0,    0.0,
 680.0,  690.0,    0.0,
 690.0,  720.0,    0.0,
 700.0,  770.0,    0.0,
 710.0,  780.0,    0.0,
 760.0,  790.0,    0.0,
 800.0,  800.0,    0.0,
 810.0,  820.0,    0.0,
 820.0,  830.0,    0.0,
 840.0,  870.0,    0.0,
 880.0,  890.0,    0.0,
 890.0,  920.0,    0.0,
 900.0,  970.0,    0.0,
 910.0,  980.0,    0.0,
 960.0,  990.0,    0.0,
1000.0, 1000.0,    0.0,
1010.0, 1020.0,    0.0,
1020.0, 1030.0,    0.0,
1040.0, 1070.0,    0.0,
1080.0, 1090.0,    0.0,
1090.0, 1120.0,    0.0,
1100.0, 1170.0,    0.0,
1110.0, 1180.0,    0.0,
1160.0, 1190.0,    0.0,
1200.0, 1200.0,    0.0,
